id,kecamatan_id,name,latitude,longitude
313,20,Tebon,-7.196455,111.572169
314,21,Tlatah,-7.212012,111.692902
315,21,Donan,-7.217346,111.636262
316,21,Gapluk,-7.203365,111.663091
317,21,Kaliombo,-7.242681,111.68694
318,21,Kuniran,-7.218845,111.657129
319,21,Ngrejeng,-7.221543,111.704826
320,21,Pelem,-7.237025,111.698864
321,21,Pojok,-7.188933,111.673525
322,21,Punggur,-7.203672,111.682468
323,21,Purwosari,-7.230467,111.677997
324,21,Sedahkidul,7.196229,111.679487
325,21,Tinumpuk,-7.212602,111.680978
326,22,Bareng,-7.198641,111.758485
327,22,Bobol,-7.392686,111.677997
328,22,Deling,-7.38606,111.758485
329,22,Klino,-7.443354,111.779352
330,22,Miyono,-7.415337,111.731656
331,22,Sekar,-7.410565,111.725694
332,23,Alasgung,-7.340553,111.95523
333,23,Balongrejo,-7.285183,111.949268
334,23,Bareng,-7.198641,111.758485
335,23,Bulu,-7.208146,111.973116
336,23,Drenges,-7.371483,111.993982
337,23,Genjor,-7.269405,111.961192
338,23,Glagahan,-7.306331,111.931383
339,23,Glagahwangi,-7.289335,111.967154
340,23,Jatitengah,-7.28237,111.929892
341,23,Kedungdowo,-7.156755,111.965663
342,23,Nglajang,-7.298544,111.985039
343,23,Panemon,-7.295171,111.926911
344,23,Panunggalan,-7.329514,111.973116
345,23,Siwalan,-7.331035,111.943306
346,23,Sugihwaras,-7.323649,111.965588
347,23,Trate,-7.299453,111.967154
348,23,Wedoro,-7.308663,111.985039
349,24,Duyungan,7.243385,111.950759
350,24,Jumput,-7.251119,111.947778
351,24,Kalicilik,-7.267058,111.907535
352,24,Klepek,-7.265854,111.931383
353,24,Pacing,-7.248877,111.967154
354,24,Purwoasri,-7.263744,111.973116
355,24,Semawot,-7.277914,111.917968
356,24,Semen Kidul,-7.254249,111.935854
357,24,Sidodadi,-7.215892,111.919459
358,24,Sidorejo,-7.280034,112.050618
359,24,Sitiaji,-7.270008,111.949268
360,24,Sukosewu,-7.257816,111.940325
361,24,Sumberjo Kidul,-7.236712,111.907535
362,24,Tegalkodo,-7.261534,111.941816
363,25,Banjarjo,-7.154236,111.633281
364,25,Bogangin,-7.182137,112.013357
365,25,Butoh,-7.260851,111.779352
366,25,Deru,-7.206948,111.996963
367,25,Jatigede,-7.184212,112.0223
368,25,Karangdinoyo,-7.1891,112.050618
369,25,Karangdowo,-7.191197,112.008886
370,25,Kayulemah,-7.213745,112.062541
371,25,Kedungrejo,-7.230705,112.026771
372,25,Margoagung,-7.174855,112.032733
373,25,Mejuwet,-7.16535,112.046147
374,25,Mlinjeng,-7.236493,112.037204
375,25,Ngampal,-7.226555,112.008886
376,25,Pejambon,-7.19936,112.0223
377,25,Pekuwon,-7.192095,111.991001
378,25,Prayungan,-7.16476,112.032733
379,25,Sambongrejo,-7.205148,112.032733
380,25,Sendangagung,-7.211399,112.008886
381,25,Sumberharjo,-7.234249,112.05658
382,25,Sumberejo,-7.203073,112.02379
383,25,Sumuragung,-7.16655,111.996963
384,25,Talun,-7.171891,112.016338
385,25,Teleng,-7.200084,112.05807
386,25,Tlogohaji,-7.248843,112.017829
387,25,Tulungrejo,-7.156745,111.864311
388,25,Wotan,-7.204547,112.044656
389,26,Bakalan,-7.175173,111.925421
390,26,Dolokgede,-7.257279,111.698864
391,26,Gading,-7.246075,111.593037
392,26,Gamongan,-7.238192,111.624338
393,26,Jatimulyo,-7.278417,111.579622
394,26,Jawik,-7.251596,111.609432
395,26,Kacangan,-7.137313,111.669054
396,26,Kalisumber,-7.256677,111.66011
397,26,Malingmati,-7.287077,111.66011
398,26,Mulyorejo,-7.142205,111.95374
399,26,Napis,-7.336595,111.582603
400,26,Ngrancang,-7.287072,111.609432
401,26,Pengkol,-7.226268,111.609432
402,26,Sendangrejo,-7.219772,111.841954
403,26,Sukorejo,-7.166852,111.889649
404,26,Tambakrejo,-7.303178,111.642224
405,26,Tanjung,-7.243099,111.60198
406,26,Turi,-7.316295,111.683959
407,27,Temayang,-7.332858,111.907535
408,27,Bakulan,-7.34719,111.874745
409,27,Belun,-7.317667,111.907535
410,27,Buntalan,-7.281348,111.900083
411,27,Jono,-7.306069,111.886668
412,27,Kedungsari,-7.36563,111.910516
413,27,Kedungsumber,-7.376985,111.886668
414,27,Ngujung,-7.305898,111.914988
415,27,Pancur,-7.285504,111.917968
416,27,Pandantoyo,-7.321821,111.925421
417,27,Papringan,-7.374543,111.934364
418,27,Soko,-7.40495,111.934364
419,28,Banjarsari,-7.131933,111.887176
420,28,Guyangan,-7.132977,111.85984
421,28,Kandangan,-7.124937,111.818106
422,28,Kanten,-7.100277,111.806182
423,28,Mori,-7.143667,111.847916
424,28,Padang,-7.129105,111.835992
425,28,Pagerwesi,-7.109202,111.83003
426,28,Sranak,-7.133576,111.873254
427,28,Sumbangtimun,-7.115424,111.806182
428,28,Sumberejo,-7.203073,112.02379
429,28,Trucuk,-7.107997,111.803201
430,28,Tulungrejo,-7.156745,111.864311
431,29,Kedewan,-7.0496364,111.584084
432,29,Margoasri,-7.0329666,111.6027877
433,20,Ngasinan,-7.1802249,111.6030822
434,18,Besaran,-7.2481549,111.7501799
435,27,Gandeng,-7.3290863,111.9019058
436,24,Sawah,-7.2638535,111.9197143
437,5,Madean,-7.1637548,111.8657094
438,7,Tikung Wetan,-7.3993066,111.8444705
439,22,Putuk Lor,-7.3977021,111.7378304
440,16,Gaplok,-7.0986216,111.7230502
